image_idx,image_name,cx,cy,cz,dx,dy,dz,r11,r12,r13,r21,r22,r23,r31,r32,r33,t1,t2,t3
0,dinoR0001.png,0.14996448959777203,0.20470213050621594,-0.6110278983085495,-0.19994811236672727,-0.23162110218451218,0.9520359328207179,-0.08661715685291285,0.9720314504239245,0.21829465483805316,-0.9759709300405953,-0.038815113240247376,-0.2144180376627094,-0.1999479532132587,-0.231620917820172,0.9520351750250122,-0.0526034704197,0.023290917003,0.659119498846
1,dinoR0002.png,0.20317970613722885,0.20667631301559214,-0.5965934750605015,-0.2810283571719446,-0.23460258716935442,0.9305829831652217,-0.10951399718548836,0.9711662444102512,0.2117617498774415,-0.9534310881350998,-0.042400933892219515,-0.2986171846468186,-0.28102814225222117,-0.23460240775428168,0.930582271491,-0.0521305489803,0.0243277199621,0.660766302364
2,dinoR0003.png,0.28337829619943333,0.2101402460879696,-0.5648585421106808,-0.4033156401840854,-0.23984146963622913,0.8830699654181628,-0.1439645783607714,0.969652632813375,0.1976061715377957,-0.9036658060347968,-0.04743335255026152,-0.42560419233334673,-0.40331536459778505,-0.23984130575212276,0.8830693620148716,-0.0513472777836,0.0256402456698,0.663501308442
3,dinoR0004.png,0.3584920013010185,0.2140030530167343,-0.5225037645098071,-0.5179689058785699,-0.2456917867767811,0.8193556971495286,-0.17615954052183536,0.967969611969114,0.17889346124094335,-0.8370646960340715,-0.051676376615026255,-0.5446583868936251,-0.5179686120570258,-0.24569164740636842,0.8193552323641845,-0.05052438457,0.0265531644026,0.666383308077
4,dinoR0005.png,0.4271215952209707,0.21819277701651676,-0.4703181316349302,-0.6228523760495729,-0.25204455895764466,0.7406270707631796,-0.20549915243217384,0.966148533371747,0.15597220137777476,-0.7548684108118612,-0.055050966575420114,-0.6535620139175785,-0.6228521115383584,-0.2520444519200625,0.7406267562357354,-0.0496771982831,0.0270494702115,0.669358615068
5,dinoR0006.png,0.4879886384615926,0.22263137145522463,-0.4092737630970368,-0.7160122719024814,-0.2587814472446737,0.6483506682691081,-0.2314368726285117,0.9642233202703062,0.12926937165558827,-0.6586081116574981,-0.057494260204752984,-0.7502864048648203,-0.7160120818719727,-0.25878137856376976,0.6483504961960695,-0.0488215004007,0.0271199178584,0.672371805073
6,dinoR0007.png,0.5399592931617797,0.22723615371663552,-0.34050779999638314,-0.795713208899842,-0.2657769578079559,0.5442454390058445,-0.25348953045428235,0.9622298357426262,0.09928239527393226,-0.5500769458326404,-0.05896074356509457,-0.8330297673215913,-0.7957131290567349,-0.26577693113948053,0.5442453843954065,-0.0479732309556,0.0267631950369,0.675366748066
7,dinoR0008.png,0.58206544434375,0.23192134541780535,-0.26530122212771723,-0.860470522334325,-0.27290077955209974,0.4302506765962723,-0.2712463266148651,0.9602052146340522,0.06656987287145613,-0.4312966436301824,-0.05942309884583171,-0.9002507489846753,-0.8604705733672938,-0.27290079573735726,0.430250702113671,-0.0471481916025,0.0259859468182,0.678287653922
8,dinoR0009.png,0.6135227340709644,0.23659967030159784,-0.18505498575668788,-0.9090779216908031,-0.2800202114256002,0.3084898920313144,-0.28437648559126744,0.9581871718055249,0.031741176852808875,-0.3044798573637405,-0.058872713242798504,-0.9506971501387793,-0.9090781061285516,-0.28002026823733883,0.3084899546191077,-0.0463617512639,0.0248026518662,0.681080111692
9,dinoR0010.png,0.6337451725491079,0.24118398002621513,-0.10126392645177651,-0.9406299590011606,-0.2870026342016688,0.18123125610329394,-0.2926354173622604,0.9562132995770732,-0.00455490006640831,-0.17198894384109037,-0.05731983939852366,-0.9834292497682345,-0.9406302609641048,-0.2870027263358387,0.18123131428252068,-0.0456285598354,0.0232353527273,0.683692103171
